ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Downloads;Price
1551667371;Thicker Than Water;Maggie Shayne;2003;Mira Books;0;350
1551667398;The Bad Witness;Laura Van Wormer;2003;Mira Books;0;9,99
778320324;Pale Moon Rising (Mira);Ginna Gray;2004;Mira;1;129
778320413;While Others Sleep (Mira);Helen R Myers;2004;Mira;1;0
553107380;Pawing Through the Past (Mrs. Murphy Mysteries (Hardcover));Rita Mae Brown;2000;Bantam Books;1;0
375406182;Plainsong;Kent Haruf;1999;Alfred A. Knopf;0;0
553271636;D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback));Sue Grafton;1988;Bantam;9;59,9
1892145057;T. Bor: Tiborocity Exhibition;Maira Kalman;2002;Little Bookroom;16;149
345389964;A Son of the Circus;John Irving;1995;Ballantine Books;1;59,9
486256111;Story of the Titanic Postcards (Card Books);Frank Braynard;1988;Dover Publications;1;200
679751521;Midnight in the Garden of Good and Evil;John Berendt;1999;Vintage Books USA;3;39,9
590120727;Help!: I'm Trapped in My Principal's Body;Todd Strasser;1998;Scholastic;0;0
1888054557;Postmarked Yesteryear: 30 Rare Holiday Postcards;Pamela E. Apkarian-Russell;2001;Collectors Press;0;0
312099045;Route 66 Postcards: Greetings from the Mother Road;Michael Wallis;1993;St. Martin's Press;0;0
312966091;Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel);Janet Evanovich;1998;St. Martin's Paperbacks;12;149,9
385265565;There Are No Children Here: The Story of Two Boys Growing Up in the Other America;Alex Kotlowitz;1992;Anchor;4;129,9
670813648;Misery;Stephen King;1990;Viking Books;1;90
892961759;Only When I Laugh;Len Deighton;1987;Mysterious Press;2;90
345372433;The Good Husband;Gail Godwin;1994;Ballantine Books;4;90
399144315;The Cat Who Saw Stars;Lilian Jackson Braun;1999;Putnam Pub Group;1;90
786883219;Brain Droppings;George Carlin;1998;Hyperion;4;90
375504613;A Short Guide to a Happy Life;ANNA QUINDLEN;2000;Random House;2;90
785263535;The Savage Nation: Saving America from the Liberal Assault on Our Borders, Language and Culture;Michael Savage;2003;WND Books;2;129
380896389;Until Proven Guilty;J.A. Jance;1985;Avon;2;89,9
380896419;Injustice for All: A J.P. Beaumont Mystery;J.A. Jance;2004;Avon;9;129
671252941;Knock Wood;Candice Bergen;1984;"Simon &amp; Schuster";25;149
155972272X;Bette: An Intimate Biography of Bette Midler;George Mair;1995;Carol Publishing Corporation;1;139
393046338;The Republic of Dreams: A Reverie;G. Garfield Crimmins;1998;"W. W. Norton &amp; Company";2;199
671001795;Two for the Dough;Janet Evanovich;1996;Pocket;6;176
316526835;Deep Water Passage: A Spiritual Journey at Midlife;Ann Linnea;1995;"Little Brown &amp; Co";9;349
385307888;I Could Do Anything If I Only Knew What It Was: How to Discover What You Really Want and How to Get It;Barbara Sher;1994;Delacorte Press;0;0
039447970X;Centennial;James A. Michener;1974;Random House;0;0
425161285;Turtle Moon;Alice Hoffman;1997;Berkley Publishing Group;0;0
156904365;Till We Have Faces: A Myth Retold;C. S. Lewis;1980;Harvest Books;1;99,9
8804342838;Due di due (Bestsellers);Andrea De Carlo;1991;A. Mondadori;0;79,99
743448421;Alphabetical Hook-Up List A-J;Phoebe McPhee;2002;MTV;2;164
014034991X;Westing Game;Ellen Raskin;1992;Puffin Books;2;29,95
440414539;Lily's Crossing (Yearling Newbery);Patricia Reilly Giff;1999;Yearling Books;15;120
006106498X;Wishbone Classic #11 Adv of Tom Sawyer (Wishbone);Stephen Fuentes;1997;HarperEntertainment;1;179
553274295;Where the Red Fern Grows;Wilson Rawls;1984;Random House Children's Books;3;199
590457799;Knitwits;William Taylor;1994;Scholastic Paperbacks (Mm);2;100
689800843;Running Out of Time;Margaret Peterson Haddix;1995;"Simon &amp; Schuster Children's Publishing";0;129
590457233;You Be the Jury: Courtroom IV (You Be the Jury);Marvin Miller;1992;Scholastic Paperbacks (Mm);0;250
689311001;BABY SITTING IS A DANGEROUS JOB;Willo Davis Roberts;1985;Atheneum;3;169
590926675;So Far From Home : The Diary of Mary Driscoll, an Irish Mill Girl, Lowell, Massachusetts, 1847 (Dear America);Barry Denenberg;1997;Scholastic;8;469
671794019;Jennifer Murdley's Toad (Magic Shop Books);Bruce Coville;1993;Aladdin;9;239
440403332;Everyone Else's Parents Said Yes;Paula Danziger;1990;Yearling Books;4;200
440948991;Luckiest Girl;Beverly Cleary;1980;Laurel-Leaf Books;2;72,8
689849176;Just Ella;Margaret Peterson Haddix;1999;Aladdin;1;99,9
1586480103;My War;Andy Rooney;2000;PublicAffairs;1;176
1570282021;The Secrets of Tae Kwon Do;J.  Lawler;1998;McGraw-Hill;2;159
877950938;Star child: A novel;Fred Mustard Stewart;1974;Arbor House;1;299
743490398;The Ultimate Weight Solution Food Guide;Phil McGraw;2003;Pocket;25;199
451524667;Animal Farm;George Orwell;1990;New Amer Library Classics;9;169
446600253;Bless Me, Ultima;Rudolfo Anaya;1994;Warner Books;11;379
345386744;The Talismans of Shannara (Heritage of Shannara (Paperback));Terry Brooks;1994;Del Rey Books;1;549
965894355;"Chic &amp; Slim Encore: More About How French Women Dress Chic Stay Slim -- and How You Can Too!";Anne Barone;2000;Nouvelles Editions;1;189
671039857;The End of the Rainbow (Hudson);V.C. Andrews;2001;Pocket;1;49,9
671039830;Eye Of The Storm (Hudson, Book 3);V.C. Andrews;2000;Pocket;2;69,9
671007696;Lightning Strikes (Hudson);V.C. Andrews;2000;Pocket;2;49,9
067100767X;Rain;V.C. Andrews;2000;Pocket Books;1;69,9
140063838;Clinging to the Wreckage;John Mortimer;1983;Penguin Books Ltd;8;149
207169519;"New and selected poems (A &amp; R modern poets)";John Forbes;1992;"Angus &amp; Robertson";1;89,9
684870819;Chocolate For A Teens Soul : Lifechanging Stories For Young Women About Growing Wise And Growing Strong;Kay Allenbaugh;2000;Fireside;1;79,99
1558748040;Chicken Soup for the Teenage Soul Letters - Letters of Life, Love and Learning (Chicken Soup for the Teenage Soul);Jack Canfield;2001;Health Communications;1;99,9
425132986;Far and Away;Sonja Massie;1992;Berkley Publishing Group;1;59,9
439053862;A Coal Miner's Bride: The Diary of Anetka Kaminska (Dear America);Susan Campbell Bartoletti;2000;Scholastic Press;0;99,9
743403614;Orphans (Orphans Series);V.C. Andrews;2000;Pocket;2;99,9
013029442X;Cities and Privatization: Prospects for the New Century;Jeffrey D. Greene;2001;Pearson Education;2;149
8495501074;Ensayo sobre la ceguera;Jose Saramago;2001;Santillana USA Publishing Company;1;109
843925027;Maniac;Stuart Friedman;1987;Leisure Books;0;0
756400953;Jaran (Jaran, 1);Kate Elliott;2002;Daw Books;2;0
1559210869;East Wind: West Wind (Buck, Pearl S. Oriental Novels of Pearl S. Buck, 8th,);Pearl S. Buck;1993;Moyer Bell Ltd.;0;0
886779960;Sword and Sorceress 18 (Sword and Sorceress, 18);Marion Zimmer Bradley;2001;Daw Books;0;0
033042095X;Rat Race / To the Hilt;Dick Francis;2003;Pan Macmillan;0;0
789716399;Easy Internet;Joe Kraynak;1998;Que;5;89,9
821767240;An Unwilling Bride;Jo Beverley;2000;Zebra Books;0;0
515135356;Crime School;Carol O'Connell;2003;Jove Books;0;0
316782262;All He Ever Wanted;Anita Shreve;2003;Little, Brown;0;0
525945210;A Man Named Dave: A Story of Triumph and Forgiveness;David J. Pelzer;1999;Dutton Books;0;0
786869054;The Sunday Wife: A Novel;Cassandra King;2002;Hyperion;0;0
446530387;"Stone Kiss (Peter Decker &amp; Rina Lazarus Novels (Hardcover))";Faye Kellerman;2002;Warner Books;0;0
688177743;Keeping Faith : A Novel;Jodi Picoult;2000;Perennial;0;0
375413634;The Emperor of Ocean Park (Today Show Book Club #1);Stephen L. Carter;2002;Alfred A. Knopf;1;149
425147762;Red Azalea;Anchee Min;1995;Berkley Publishing Group;4;129
399149295;Blood Orchid (Holly Barker Novels (Hardcover));Stuart Woods;2002;Putnam Adult;3;89,9
66212693;Good Girls Gone Bad;Jillian Medoff;2002;William Morrow;1;109
670031062;Must Love Dogs: A Novel;Claire Cook;2002;Viking Books;6;159
679439382;The Little Friend;Donna Tartt;2002;Alfred A. Knopf;1;199
1565123417;A Private Sorcery: A Novel;Lisa Gornick;2002;Algonquin Books of Chapel Hill;1;29
451179188;Throat;Peter Straub;1999;Signet Book;1;119
786867612;Nothing to Fall Back On: The Life and Times of a Perpetual Optimist;Betsy Carter;2002;Hyperion Press;8;199
61098035;Burn Factor;Kyle Mills;2002;HarperTorch;3;149
553572105;Fly Away Home;Judith Kelman;1997;Bantam Books;1;89,9
051512950X;Straw Men;Martin J. Smith;2001;Jove Books;11;109
312926456;Unanswered Cries : A True Story Of Friends, Neighbors, And Murder In A Small Town;Thomas French;1992;St. Martin's Paperbacks;0;229
786889837;Buried Evidence;Nancy Taylor Rosenberg;2002;Hyperion;0;109
804108749;Saint Maybe;ANNE TYLER;1992;Ivy Books;7;99,9
425121631;Rules of Prey;John Sandford;1992;Berkley Publishing Group;5;349,9
804109052;Undue Influence;Shelby Yastrow;1992;Ivy Books;13;149
345402308;Fourth Procedure;STANLEY POTTINGER;1995;Ballantine Books;3;89,9
451168690;Mystery;Peter Straub;1997;Signet Book;1;19,9
067945960X;Monster: A Novel;Jonathan Kellerman;1999;Random House Inc;4;149
316693235;Violets Are Blue;James Patterson;2001;Little, Brown;8;89,9
451188616;The Heir;Catherine Coulter;1996;Signet Book;0;119,9
050552208X;A Darker Dream;Amanda Ashley;1997;Love Spell;3;33,99
380820846;Romancing Mister Bridgerton;Julia Quinn;2002;Avon;5;199
425153975;The Eyes of Darkness;Dean R. Koontz;1996;Berkley Publishing Group;1;0
425119653;Mutation;Robin Cook;1991;Berkley Publishing Group;2;89,9
553579983;And Then You Die;Iris Johansen;1998;Bantam;1;24,95
399149325;Portrait of a Killer: Jack the Ripper -- Case Closed;Patricia Cornwell;2002;G. P. Putnam's Sons;1;79,99
042515971X;Blown Away;David Wiltse;1997;Berkley Publishing Group;2;129
1583144269;Smitten;Sonia Icilyn;2003;Bet Books;2;219
446610852;The Kissing Game;Kasey Michaels;2003;Warner Forever;3;129
821771426;Say You're Mine;Judi McCoy;2002;Zebra Books;25;114,8
671744577;Eternity;Jude Deveraux;1992;Pocket;1;119
373261047;Real Murders;Richard Harris;1992;Worldwide Library;1;62,38
743233468;Bare Bones : A Novel;Kathy Reichs;2003;Scribner;1;70
804114986;The Bonesetter's Daughter;Amy Tan;2002;Ballantine Books;1;0
380808072;First Lady;Susan Elizabeth Phillips;2000;Avon;2;99,9
067179356X;In the Name of Love : Ann Rule's Crime Files Volume 4 (Ann Rule's Crime Files);Ann Rule;1998;Pocket;4;69,9
743410505;Deadly Decisions;Kathleen J. Reichs;2001;Pocket Books;2;39,9
380750848;A Heart So Wild;Johanna Lindsey;1986;Avon;4;299
425151883;Blush;Suzanne Forster;1996;Berkley Publishing Group;2;99,9
446611808;Envy;Sandra Brown;2002;Warner Books;1;0
310220033;Vanished;Alton Gansky;2000;Zondervan Publishing Company;2;359
553583360;Slightly Shady;Amanda Quick;2002;Bantam Books;1;200
446600709;Assumed Identity;David Morrell;1994;Warner Books;4;33,99
671019929;ESAU;Philip Kerr;1998;Pocket;4;149
044915002X;Shameless;Jennifer Blake;1997;Ivy Books;22;59,9
425178579;Betrayal in Death;Nora Roberts;2001;Berkley Publishing Group;2;164
449907953;The Age of Grief;Jane Smiley;1992;Ballantine Books;2;0
1551669498;Girls Night;Stef Ann Holm;2002;Mira;5;99
038081448X;The Rambunctious Lady Royston;Kasey Michaels;1983;Avon Books;4;29
140069135;The Name of Annabel Lee (Crime Monthly);Julian Symons;1985;Penguin USA;1;149
696214563;Making a Home;Better Homes and Gardens;2001;Better Homes and Gardens Books;2;59,9
044808919X;Disappearing Floor (Hardy Boys Mystery Stories);Franklin W. Dixon;1940;"Grosset &amp; Dunlap";0;0
448089165;Figure in Hiding (The Hardy Boys 16);Franklin W. Dixon;1937;"Grosset &amp; Dunlap";1;0
451626079;The Upanishads;Prabhavananda;1990;Signet Book;1;54,99
1563831236;"Gifts in a Jar: Bars &amp; Brownies";"G &amp; R Publishing";2001;Cq Products;2;0
156383121X;Gifts in a Jar: Cookies;"G &amp; R Publishing";2001;Cq Products;20;59,9
28620666;Betty Crocker's Best of Baking : More Than 350 of America's Favorite Recipes;Betty Crocker;1997;Betty Crocker;0;99,9
1892051176;Guinness World Records 2003 (Guinness World Records);Claire Folkard;2002;Guinness World Records Ltd.;2;59,9
877201358;La Gran Aventura de Alejandro (R 576 P);Abby Kanter;1994;Amsco School Pubns Inc;1;149
844273252;Guide to Spanish Idioms;Raymond H. Pierson;1985;McGraw-Hill;7;109,9
201741644;Macromedia Director 8.5 Shockwave Studio for 3D: Training from the Source;Phil Gross;2001;Macromedia Press;1;200
1559362324;Anna in the Tropics;Nilo Cruz;2003;Theatre Communications Group;8;69
345430786;Manifold: Space (Manifold (Paperback));Stephen Baxter;2002;Del Rey Books;4;139
316710571;Sam's Letters to Jennifer;James Patterson;2004;Little, Brown;13;249
60555513;The Last Goodbye;Reed Arvin;2004;HarperCollins;8;249
892967544;First Degree;David Rosenfelt;2003;Mysterious Press;13;189,9
399148655;The Delicate Storm (Marian Wood Book);Giles Blunt;2003;Marian Wood Book;1;0
312319142;Paranoia : A Novel;Joseph Finder;2004;St. Martin's Press;2;69,9
345457587;Shadow Account (Frey, Stephen);STEPHEN FREY;2004;Ballantine Books;3;149
345453417;Cry No More (Howard, Linda);LINDA HOWARD;2003;Ballantine Books;2;33,99
60555653;The Polished Hoe;Austin Clarke;2003;Amistad;3;109
316591122;Fear Itself: A Fearless Jones Novel;Walter Mosley;2003;Little, Brown;1;129
312319517;Avenger (Forsyth, Frederick);Frederick Forsyth;2003;Thomas Dunne Books;9;188
380978830;Death Trap : An Alaska Mystery (Henry, Sue);Sue Henry;2003;William Morrow;0;150
385336209;Blinded (White, Stephen);STEPHEN WHITE;2004;Delacorte Press;4;149
553802526;The Killing Hour;LISA GARDNER;2003;Bantam;3;180
446530689;The Protector;David Morrell;2003;Warner Books;5;219
399150854;Blacklist: A V.I. Warshawski Novel;Sara Paretsky;2003;Putnam Publishing Group;3;99,9
60083956;Mr. Paradise:  A Novel;Elmore Leonard;2004;William Morrow;4;159
446531421;Still Life With Crows;Lincoln Child;2003;Warner Books;2;59,9
312306814;A Grave Denied: A Kate Shugak Novel;Dana Stabenow;2003;St. Martin's Minotaur;1;29,95
312271786;Off the Chart: A Novel;James W. Hall;2003;St. Martin's Minotaur;1;129
399150870;Stone Cold: A Jesse Stone Novel;Robert B. Parker;2003;Putnam Publishing Group;7;129
399149821;Dirty Work;Stuart Woods;2003;Putnam Publishing Group;5;149
553802496;Odd Thomas;Dean Koontz;2003;Bantam;2;199
345452577;The Conspiracy Club;JONATHAN KELLERMAN;2003;Ballantine Books;4;119
1400041414;The Murder Room;P.D. JAMES;2003;Knopf;5;129
60193883;A Bloodhound to Die For;Virginia Lanier;2003;HarperCollins;2;88
743428684;Midnight Flight (Ay Adult - Andrews);V.C. Andrews;2003;Pocket;0;33,99
525947655;A Perfect Day;Richard Paul Evans;2003;Dutton Books;2;199
312316690;The Tristan Betrayal (Ludlum, Robert);Robert Ludlum;2003;St. Martin's Press;2;149
60005556;Last to Die (Grippando, James);James Grippando;2003;HarperCollins;0;119,9
312304269;Runaway Heart: A Novel;Stephen J. Cannell;2003;St. Martin's Press;1;99,9
399148760;Seizure;Robin Cook;2003;Putnam Publishing Group;3;149
316603287;The Lake House;James Patterson;2003;Little, Brown;7;269
399145664;Family Honor;Robert B. Parker;1999;Putnam Pub Group;1;129
425178102;Big Trouble;Dave Barry;2001;Berkley Publishing Group;3;239
553580515;Passage;Connie Willis;2002;Bantam Books;3;69,9
749301015;My Left Foot;Christy Brown;1991;Heinemann;0;89,9
445204222;Wizard War;Hugh Cook;1987;Warner Books;0;119,9
1930252501;The Brink;Alien Stevens;2002;Pagefree Publishing;19;299
515123293;The Last Heroes (Men at War (Paperback Jove));W. E. B. Griffin;1998;Jove Books;25;159
312985207;Stephen Coonts' Deep Black (Deep Black);Stephen Coonts;2003;St. Martin's Paperbacks;4;299
449220354;Final Approach;John J. Nance;1994;Fawcett Books;1;152
312981260;Temple;Matthew Reilly;2002;St. Martin's Paperbacks;8;225
067104754X;Purgatory Ridge (Cork O'Connor Mysteries);William Kent Krueger;2002;Pocket Star;2;109
385144741;Memento;Michael Macdonald Mooney;1979;Doubleday;1;19,9
385144342;Mark Coffin, U.S.S: A novel of Capitol Hill;Allen Drury;1979;Doubleday;4;24,9
595175686;The Bridge;Michael Darkow;2001;Authors Choice Press;1;109
1594082316;New England Interlude;Maria Elena Morgan;2003;Cork Hill Press;1;176,9
1410777057;Hidden Agendas;Maria Elena Morgan;2003;Authorhouse;1;119
374172471;Homesickness : A Novel;Murray Bail;1999;Farrar, Straus and Giroux;1;129
2070394867;Kitchen;Banana Yoshimoto;1996;Gallimard;11;59,9
609807420;The Business Plan for the Body;Jim Karas;2001;Three Rivers Press (CA);1;119
425122956;Majestic;Whitley Strieber;1990;Berkley Publishing Group;3;59,9
451208765;Sleep No More;Greg Iles;2003;Signet Book;1;299
618129022;The Lord of the Rings (Movie Art Cover);J.R.R. Tolkien;2001;Houghton Mifflin Company;1;104,3
345423402;A Kiss of Shadows (Meredith Gentry Novels (Paperback));LAURELL K. HAMILTON;2002;Ballantine Books;1;59,9
345423429;A Caress of Twilight (Meredith Gentry Novels (Paperback));LAURELL K. HAMILTON;2003;Fawcett;4;199
034544356X;Seduced By Moonlight (Hamilton, Laurell K);LAURELL K. HAMILTON;2004;Ballantine Books;7;100
743454146;The Footprints of God : A Novel;Greg Iles;2004;Pocket Star;9;100
451210840;The Gunslinger (The Dark Tower, Book 1);Stephen King;2003;New American Library;6;150
425152367;Private Altars;Katherine Mosby;1996;Berkley Publishing Group;4;149
553374435;Conscious Breathing : Breathwork for Health, Stress Release, and Personal Mastery;GAY HENDRICKS;1995;Bantam;1;159
553106643;Fear Nothing;DEAN KOONTZ;1998;Bantam;0;0
553057707;Brain Building: Exercising Yourself Smarter;Marilyn Vos Savant;1990;Bantam Books;1;160
1853263508;DICTIONARY OF ANAGRAMS;Curl;1998;NTC/Contemporary Publishing Company;1;0
1567185711;Liquid Dreams of Vampires;Martin V. Riccardo;1996;Llewellyn Pubns;2;129
1560251476;In the Shadow of the Vampire: Reflections from the World of Anne Rice;Jana Marcus;1997;Pub Group West;2;249
449223795;The Homing;John Saul;1995;Fawcett Books;1;91
1568846533;MS DOS 6.2 Simplified;Ruth Maran;1995;Wiley Publishing;6;59,9
312144075;The Samurai's Garden : A Novel;Gail Tsukiyama;1996;St. Martin's Griffin;0;269
684869233;The Burning Times : A Novel of Medieval France;Jeanne Kalogridis;2001;"Simon &amp; Schuster";8;99
156007479;Slammerkin;Emma Donoghue;2002;Harvest Books;3;120
61031844;The Book of Shadows;James Reese;2002;HarperTorch;0;0
312267177;Catfish and Mandala : A Two-Wheeled Voyage through the Landscape and Memory of Vietnam;Andrew X. Pham;2000;Picador;2;99,9
345434943;Song of the Exile (Ballantine Reader's Circle);Kiana Davenport;2000;Ballantine Books;6;69,9
1860110886;Ireland;Catharina Day;1998;Everyman Publishers;1;0
875421849;Living Wicca: A Further Guide for the Solitary Practitioner (Llewellyn's Practical Magick);Scott Cunningham;1993;Llewellyn Publications;1;569
786868619;Stolen Lives: Twenty Years in a Desert Jail;Malika Oufkir;2001;Talk Miramax Books;0;19,99
037550303X;The White Death: Tragedy and Heroism in an Avalanche Zone;McKay Jenkins;2000;Random House Inc;2;99,9
345442741;Welcome to the Great Mysterious (Ballantine Reader's Circle);LORNA LANDVIK;2002;Ballantine Books;25;119,9
970272707;The Birth of Blue Satan;Patricia Wynn;2001;Pemberley Press;3;59,9
399138439;Three Complete Novels: Lightning, the Face of Fear, the Vision;Dean R. Koontz;1993;Putnam Pub Group;17;299
130484717;ART OF THE LEADER;William A. Cohen;1991;Prentice Hall Art;1;245
452276365;Insomnia: 50 Essential Things to Do;Theresa Digeronimo;1997;Penguin USA;1;349
671723650;How To Win Friends And Influence People;Dale Carnegie;1990;Pocket;5;139
671733354;How to Stop Worrying and Start Living;Dale Carnegie;1990;Pocket;0;0
451206525;Dead Sleep;Greg Iles;2002;Signet Book;1;0
140445943;The Earliest English Poems (Penguin Classics);Michael Alexander;1992;Penguin Books;1;0
1557489297;Wait For the Morning (Heartsong Presents #194);Kjersti Hoff Baez;1996;Heartsong Presents;1;0
553280430;The Tao of Relationships: A Balancing of Man and Woman;Ray Grigg;1989;Bantam Books;1;0
451167317;The Dark Half;Stephen King;1994;Signet Book;0;0
821725998;Quest of the Seventh Carrier;Peter Albano;1989;Kensington Pub Corp (Mm);1;0
590444646;Caddie Woodlawn;Carol Brink;0;Scholastic Inc;2;0
039951743X;The Pocket Dictionary of Signing;Rod R. Butterworth;1992;Perigee Books;1;0
671517643;LITTLE WOMEN;Louisa May Alcott;1994;Pocket;1;0
155748919X;An Uncertain Heart (Heartsong Presents #188);Andrea Boeshaar;1996;Heartsong Presents;1;0
1577480112;The Fruit of Her Hands;Jane Orcutt;1997;Heartstone;1;0
451457250;Stargate Sg-1;Ashley McConnell;1998;Roc;1;0
394741838;Dragons of Spring Dawning (Weis, Margaret);Margaret Weis;1985;TSR;1;0
345428455;Vector Prime (Star Wars: The New Jedi Order, Book 1);R. A. Salvatore;2000;Del Rey Books;1;0
671541749;Invasion: The Soldiers of Fear (Star Trek: The Next Generation, No. 41);Dean Wesley Smith;1996;Star Trek;1;0
345314875;Requiem for a Ruler of Worlds;Brian Daley;1985;Del Rey Books;0;0
140446109;On the Nature of the Universe (Penguin Classics);Lucretius;1994;Penguin Books;1;0
014044422X;The Complete Odes and Epodes: With the Centennial Hymn (Penguin Classics);Horace;1983;Penguin Books;1;0
140147683;The Arabs (Penguin History);Peter Mansfield;1992;Penguin USA;1;0
452270294;Cosmic Wormholes: The Search for Interstellar Shortcuts;Paul Halpern;1993;Penguin USA;2;0
1560766263;Prince of Lies (Forgotten Realms);James Lowder;1993;Wizards of the Coast;2;199
014011341X;The Second World War;John Keegan;1990;Penguin Books;1;89,9
155026607;Twenty Questions: An Introduction to Philosophy;G. Lee Bowie;1995;Harcourt;1;49,9
312850247;The Trikon Deception;Ben Bova;1992;St Martins Pr;3;99,9
786913886;The Silent Blade (Forgotten Realms:  Paths of Darkness, Book 1);R. A. Salvatore;1999;Wizards of the Coast;1;99,9
766607208;Treasury of Illustrated Classics: Adventures of Huckleberry Finn;Mark Twain;2002;Modern Publishing;5;59,9
1884820298;The A.D.D. and A.D.H.D. Diet! Updated: A Comprehensive Look at Contributing Factors and Natural Treatments for Symptoms of Attention Deficit Disorder and Hyperactivity;Rachel Bell;2001;Safe Goods/New Century Publishing 2000;3;99,9
014042346X;The Penguin Book of Renaissance Verse (Penguin Classics);David Norbrook;1993;Penguin Books;1;329
440133017;Cosmic Connection:  an Extraterrestrial Perspective;Carl Sagan;1975;Dell Publishing;1;249
140587640;The Descent of Alette (Penguin Poets);Alice Notley;1996;Penguin Books;1;129,9
399144706;River's End;Nora Roberts;1999;Putnam Publishing Group;2;69,9
031285904X;The Parafaith War;L. E. Modesitt Jr.;1996;Tor Books;1;149
140444173;War and Peace (Penguin Classics);Leo Tolstoy;1982;Penguin Books;3;0
380769158;History's Last Stand;Gerard Del Re;1993;Harpercollins;0;0
1560760478;Sojourn (Forgotten Realms Novel: Dark Elf Trilogy);R.A. Salvatore;1991;Wizards of the Coast;1;0
880389052;Homeland (Forgotten Realms: The Dark Elf Trilogy, Book 1);R.A. Salvatore;1990;Wizards of the Coast;13;119
880389206;Exile (Forgotten Realms: Dark Elf Trilogy);R. A. Salvatore;1996;Wizards of the Coast;11;149
140193669;The Sorcerers' Crossing (Arkana S.);Taisha Abelar;1993;Penguin Books;0;129,2
140194916;Deerdancer: The Shapeshifter Archetype in Story and in Trance (Arkana S.);Michele Jamal;1995;Penguin USA;3;149
140255109;Novel Without a Name;Thu Hng Dng;1996;Penguin Books;25;89,9
014070731X;Antony and Cleopatra (New Penguin Shakespeare Series);William Shakespeare;1981;Penguin Books;1;59,9
140445145;Twilight of the Idols and the Anti Christ (Penguin Classics);R.J. Hollingdale;1990;Penguin Books;1;129
452010845;A History of Russia;John Lawrence;1993;Plume Books;1;119
140048162;Penguin Book of Russian Short Stories.;David Richards;1981;Penguin USA;2;99,9
140390537;Billy Budd and Other Stories (Penguin Classics);Herman Melville;1989;Penguin Books;2;269
192713434;The first summer year;Ian Kellam;1972;Oxford University Press;14;176
345396936;Cry to Heaven;Anne Rice;1995;Ballantine Books;6;164
312261918;Let Me Whisper in Your Ear;Mary Jane Clark;2000;St. Martin's Press;1;149
014010870X;Life and Death in Shanghai;Nien Cheng;1988;Penguin Books;25;139
671722840;RICHARD III;William Shakespeare;1996;Washington Square Press;13;159
553233890;Pilgrim at Tinker Creek;Annie Dillard;1982;Bantam Books (Mm);25;120
553346083;Somewhere Off the Coast of Maine;Ann Hood;1988;Bantam Books;25;59,9
330306839;Holidays In Hell;P J Orourke;0;Pan Books Ltd;2;59,9
140181903;The Custom of the Country (Penguin Twentieth-Century Classics);Edith Wharton;1990;Penguin Books;1;51
786881275;The Postman;Antonio Skarmeta;1995;Hyperion Books;1;51
394587545;The Waterworks;E. L. Doctorow;1994;Random House Inc;2;51
20519303;Green Hills of Africa;Ernest Hemingway;1985;Collier Books;2;51
345315014;Union Street;Pat Barker;1990;Ballantine Books;2;104
059022638X;Dracula Doesn't Drink Lemonade (Adventures of the Bailey School Kids (Paperback));Debbie Dadey;1995;Scholastic;2;50,6
590466178;Night of the Living Dummy (Goosebumps, No 7);R. L. Stine;1995;Scholastic;0;99,9
6514588;Three wise men;Martina Devlin;2000;HarperCollins;1;149
1578660432;How Not to Be a Messie: The Ultimate Guide for the Neatness Challenged : The Messies Manual/the Messie Motivator;Sandra Felton;1999;Galahad Books;2;164
761116230;"McGee &amp; Stuckey's Bountiful Container: A Container Garden of Vegetables, Herbs, Fruits, and Edible Flowers";Rose Marie Nichols McGee;2002;Workman Publishing;7;129
1580174493;The City Gardener's Handbook: The Definitive Guide to Small-Space Gardening;Linda Yang;2002;Storey Books;4;59,9
380819600;Take Me, I'm Yours (Avon Light Contemporary Romances);Elizabeth Bevarly;2002;Avon;3;171
312980159;Fast Women;Jennifer Crusie;2002;St. Martin's Press;2;99
821771116;Falling for April (Zebra Historical Romance);Lisa Plumley;2002;Zebra Books;22;199
451403967;Devoted;Alice Borchardt;1996;Signet Book;7;199
140277749;The Bust Guide to the New Girl Order;Marcelle Karp;1999;Penguin Books;1;129
1580050158;Cunt: A Declaration of Independence (Live Girls);Inga Muscio;1998;Seal Press (WA);5;69,9
451524195;Sense and Sensibility (Signet Classic);Jane Austen;1989;Signet Classics;17;97,3
821768093;Fly Me to the Moon (Zebra Contemporary Romance S.);Kylie Adams;2001;Kensington Publishing Corporation;3;399
440214866;Hot Schemes: A Molly Dewitt Romantic Mystery;Sherryl Woods;1994;Dell Publishing Company;2;0
440210046;Hot Secrets;Sherryl Woods;1992;Dell Publishing Company;1;149
440214858;Hot Money (Molly Dewitt Romantic Mystery);Sherryl Woods;1993;Dell Publishing Company;2;59,9
380818957;First Comes Love (Avon Light Contemporary Romances);Christie Ridgway;2002;Avon;25;79,99
451191889;Beguiled;Alice Borchardt;1998;Signet Book;15;79,99
345423658;The Wolf King;Alice Borchardt;2001;Del Rey Books;1;164
743410262;Educating Caroline (Sonnet Books);Patricia Cabot;2001;Pocket;1;89,9
515119660;The Light Bearer;Donna Gillespie;1996;Jove Books;1;119
312979851;True North;Beverly Brandt;2002;St. Martin's Paperbacks;12;99,9
